sample_id,cluster,umap_1,umap_2
597,4,9.992139,4.506746
598,7,-0.91352177,3.0498102
599,0,-4.1234455,5.993743
600,2,10.1875515,9.804055
601,6,3.4019945,2.8405209
602,9,13.0209875,-1.360041
603,5,11.357601,-0.25790465
604,5,11.767618,0.35456347
605,0,-3.4598138,6.8480525
606,2,11.907116,10.227225
607,6,3.223229,3.5645258
608,4,9.239378,4.788556
609,5,11.268869,-0.34217018
610,10,13.073771,0.9146271
611,8,-0.07466842,2.072599
612,0,-4.1112223,6.6972218
613,5,11.648029,-1.1937389
614,10,13.254415,1.2074962
615,6,3.203695,3.180141
616,4,9.710783,4.6671824
617,6,3.4142697,3.3948307
618,7,-1.3628845,2.7614872
619,2,12.015284,10.191324
620,9,13.843936,-1.3801938
621,0,-4.438917,5.941789
622,10,12.857974,1.6816317
623,2,11.51458,10.151031
624,10,12.518298,0.9365006
625,2,11.108874,10.255868
626,10,13.793816,1.83338
627,7,-1.0539509,3.104849
628,7,-1.4736108,2.9799726
629,5,11.419267,-0.35446814
630,0,-4.4689345,6.7027435
631,-1,-0.5819726,3.9552877
632,0,-4.175772,6.6340313
633,6,1.8997512,4.3935676
634,5,11.461731,-0.2687022
635,10,13.609472,1.224492
636,-1,12.842211,-1.487829
637,1,8.618389,10.255407
638,10,13.7439575,1.6253494
639,7,-1.4142251,2.8950188
640,6,3.053266,2.9513981
641,6,3.5960853,3.3650892
642,6,3.4795845,3.4118683
643,6,1.3560294,4.7217426
644,5,11.356764,-0.6795801
645,10,13.68315,0.70140636
646,0,-3.3593705,6.531416
647,0,-4.2937346,6.654374
648,6,1.4908965,4.341782
649,4,9.521872,4.257478
650,9,13.647247,-1.4820989
651,6,1.5141329,3.7591438
652,10,13.800118,1.2962595
653,1,8.520136,10.584434
654,6,1.584565,4.423762
655,8,-0.056154862,1.9350605
656,6,1.4372731,4.803243
657,10,13.704674,0.09665835
658,5,11.26739,-1.1038545
659,-1,13.352317,-0.37130535
660,0,-4.4048667,6.1425304
661,-1,0.54309887,2.8604841
662,7,-0.77132523,4.8843837
663,6,3.3272982,3.0342073
664,7,-0.9003193,2.8233175
665,9,14.210937,-1.3712268
666,10,13.576043,0.43979493
667,10,13.319857,1.5695986
668,10,13.067182,0.61815274
669,5,12.211324,-0.41082415
670,10,13.765567,1.3927321
671,6,1.4227804,4.62054
672,2,11.709105,9.516554
673,8,1.2731122,1.607971
674,5,11.290893,-0.24072354
675,6,1.4571581,4.4202523
676,5,11.353187,-0.3151694
677,2,11.046591,9.388133
678,2,11.268292,10.068488
679,2,11.3783865,10.32132
680,7,-0.97670335,2.9782927
681,1,8.671763,10.154309
682,8,-0.07560894,1.8795705
683,5,11.3262415,-0.34116545
684,0,-4.5432544,6.4127116
685,8,1.2938244,1.4870908
686,0,-4.118741,6.339425
687,9,14.292034,-1.3332233
688,0,-3.265331,6.645538
689,1,8.974881,10.075527
690,1,8.968916,10.056569
691,4,9.655978,4.3172536
692,2,10.180953,9.779735
693,3,11.221747,4.4556627
694,10,13.810555,0.06227551
695,0,-3.8811421,6.9403706
696,2,11.109941,10.3672085
697,10,12.941051,0.9483818
698,8,1.1071795,1.5233078
699,3,11.3541765,4.370573
700,10,12.907038,1.1250161
701,10,13.081587,0.4180407
702,6,1.6808982,4.24602
703,0,-3.4892676,7.0223727
704,-1,11.724864,0.42820412
705,0,-3.983156,6.1009264
706,0,-4.201646,6.071623
707,6,3.086114,2.8681588
708,2,12.024861,10.106596
709,10,14.055379,1.2932976
710,10,12.826401,1.6959705
711,5,12.360774,-0.53063124
712,10,14.107513,1.3146554
713,4,9.737168,4.7487264
714,10,13.686198,0.481414
715,9,13.527873,-1.3482296
716,6,1.2121028,3.2122598
717,9,14.32024,-1.3915457
718,-1,12.820459,-1.4815985
719,0,-3.6485817,6.1047726
720,0,-4.2700195,6.2588377
721,2,12.184248,10.099962
722,0,-3.4820538,6.263761
723,9,14.219167,-1.4749211
724,0,-3.8758018,6.876739
725,6,0.79273665,3.2889926
726,4,9.733067,4.690509
727,0,-4.185475,6.0800333
728,10,13.959375,1.2780992
729,0,-3.6904497,7.0161815
730,10,13.810055,0.09218998
731,0,-4.003646,6.316538
732,10,13.598514,0.25262445
733,0,-3.9109175,6.5846214
734,10,13.509012,0.22106381
735,0,-4.291025,6.657859
736,4,9.382992,4.578236
737,-1,12.113959,1.120131
738,2,11.293146,10.304839
